dim,sample_points,num_reruns,mc_ans,mc_ans_std,mc_1000_time,mc_time_std,trap_ans,trap_ans_std,trap_1000_time,trap_time_std
1,100,100,2.718282,0.000000,1.623797,0.000394,2.709604,0.000000,1.751411,0.000185
2,100,100,1.235646,0.016490,0.961378,0.000016,1.234718,0.000000,1.960914,0.000023
3,100,100,1.071260,0.006938,1.060987,0.000017,1.066519,0.000000,2.326315,0.000027
4,100,100,1.025208,0.003194,1.161777,0.000013,1.022449,0.000000,2.695927,0.000044
5,32,100,1.010051,0.002913,1.267212,0.000018,1.006919,0.000000,3.144195,0.000034
6,64,100,1.003990,0.000936,1.378111,0.000028,1.002834,0.000000,3.540499,0.000039
7,128,100,1.001696,0.000331,1.473525,0.000027,1.001200,0.000000,3.938006,0.000043
8,256,100,1.000764,0.000142,1.583882,0.000028,1.000520,0.000000,4.337336,0.000048
9,512,100,1.000330,0.000042,1.672429,0.000017,1.000230,0.000000,4.721279,0.000038
10,1024,100,1.000148,0.000016,1.771707,0.000014,1.000103,0.000000,5.103110,0.000031
11,2048,100,1.000068,0.000006,1.870554,0.000012,1.000046,0.000000,5.544140,0.000183
12,4096,100,1.000031,0.000002,2.006775,0.000152,1.000021,0.000000,5.893138,0.000172
13,8192,100,1.000014,0.000001,2.071177,0.000009,1.000010,0.000000,6.275365,0.000063
14,16384,100,1.000007,0.000000,2.170553,0.000011,1.000005,0.000000,6.649953,0.000032
15,32768,100,1.000003,0.000000,2.274259,0.000011,1.000002,0.000000,7.034369,0.000025
16,65536,100,1.000001,0.000000,2.376156,0.000010,1.000001,0.000000,7.445035,0.000030
17,131072,100,1.000001,0.000000,2.498473,0.000053,1.000000,0.000000,7.801256,0.000030
18,262144,100,1.000000,0.000000,2.845206,0.000008,1.000000,0.000000,8.262729,0.000278
19,524288,100,1.000000,0.000000,4.693817,0.000030,1.000000,0.000000,8.834306,0.000440
20,1048576,100,1.000000,0.000000,9.216465,0.000025,1.000000,0.000000,8.955665,0.000056
21,2097152,100,1.000000,0.000000,18.795129,0.000058,1.000000,0.000000,9.494699,0.000029
22,4194304,100,1.000000,0.000000,38.382411,0.000110,1.000000,0.000000,12.146910,0.000078
23,8388608,100,1.000000,0.000000,81.112912,0.000132,1.000000,0.000000,17.270955,0.000153
24,16777216,100,1.000000,0.000000,162.062063,0.000213,1.000000,0.000000,27.653363,0.000037
25,33554432,100,1.000000,0.000000,357.426084,0.000341,1.000000,0.000000,49.014855,0.000056
