dim,sample_points,num_reruns,mc_ans,mc_ans_std,mc_1000_time,mc_time_std,trap_ans,trap_ans_std,trap_1000_time,trap_time_std
1,1000000,1000,2.718282,0.000000,0.761381,0.000211,2.718281,0.000000,1.248060,0.000008
2,1000000,1000,1.236312,0.000152,0.748890,0.000006,1.236318,0.000000,1.530787,0.000010
3,1000000,1000,1.069957,0.000069,0.921563,0.000007,1.069952,0.000000,1.797519,0.000018
4,1000000,1000,1.025048,0.000029,1.138056,0.000008,1.025035,0.000000,2.058361,0.000011
5,1000000,1000,1.009797,0.000015,1.387219,0.000007,1.009773,0.000000,2.318062,0.000012
10,1000000,1000,1.000149,0.000001,3.221833,0.000007,1.000132,0.000000,3.610536,0.000024
20,1048576,1000,1.000000,0.000000,9.176068,0.000030,1.000000,0.000000,6.575963,0.000025
25,33554432,1000,1.000000,0.000000,357.718558,0.000302,1.000000,0.000000,46.971485,0.000035
