dim,sample_points,num_reruns,mc_ans,mc_ans_std,mc_1000_time,mc_time_std,trap_ans,trap_ans_std,trap_1000_time,trap_time_std
1,100,100,2.718282,0.000000,0.899695,0.000037,2.709604,0.000000,1.591905,0.000015
2,100,100,1.236846,0.015285,0.970074,0.000010,1.234718,0.000000,1.997263,0.000040
3,100,100,1.069531,0.006201,1.091961,0.000049,1.066519,0.000000,2.396249,0.000151
4,100,100,1.025418,0.003309,1.212505,0.000118,1.022449,0.000000,2.753717,0.000110
5,100,100,1.009620,0.001531,1.289751,0.000049,1.006919,0.000000,3.258527,0.000238
6,64,100,1.003970,0.000908,1.393647,0.000066,1.002834,0.000000,3.603474,0.000084
7,128,100,1.001700,0.000360,1.486593,0.000016,1.001200,0.000000,3.989349,0.000035
8,256,100,1.000764,0.000127,1.602455,0.000132,1.000520,0.000000,4.385827,0.000037
9,512,100,1.000331,0.000046,1.703969,0.000034,1.000230,0.000000,4.826471,0.000293
10,1024,100,1.000150,0.000016,1.794436,0.000014,1.000103,0.000000,5.180094,0.000043
11,2048,100,1.000068,0.000006,1.897133,0.000019,1.000046,0.000000,5.561594,0.000038
12,4096,100,1.000031,0.000003,2.000450,0.000020,1.000021,0.000000,5.974336,0.000048
13,8192,100,1.000014,0.000001,2.105858,0.000022,1.000010,0.000000,6.365909,0.000050
14,16384,100,1.000007,0.000000,2.204568,0.000022,1.000005,0.000000,6.774933,0.000158
15,32768,100,1.000003,0.000000,2.312872,0.000035,1.000002,0.000000,7.152123,0.000052
16,65536,100,1.000001,0.000000,2.411492,0.000022,1.000001,0.000000,7.562164,0.000047
17,131072,100,1.000001,0.000000,2.533612,0.000034,1.000000,0.000000,7.942792,0.000056
18,262144,100,1.000000,0.000000,2.879057,0.000024,1.000000,0.000000,8.335702,0.000054
19,524288,100,1.000000,0.000000,4.692455,0.000020,1.000000,0.000000,8.752629,0.000080
20,1048576,100,1.000000,0.000000,9.226693,0.000027,1.000000,0.000000,9.107261,0.000061
21,2097152,100,1.000000,0.000000,18.810009,0.000067,1.000000,0.000000,9.639494,0.000060
22,4194304,100,1.000000,0.000000,38.403979,0.000103,1.000000,0.000000,12.500443,0.000191
23,8388608,100,1.000000,0.000000,81.109067,0.000154,1.000000,0.000000,17.410337,0.000065
24,16777216,100,1.000000,0.000000,162.073488,0.000202,1.000000,0.000000,28.052474,0.000480
25,33554432,100,1.000000,0.000000,357.464894,0.000319,1.000000,0.000000,49.230555,0.000220
