dim,sample_points,num_reruns,mc_ans,mc_ans_std,mc_1000_time,mc_time_std,trap_ans,trap_ans_std,trap_1000_time,trap_time_std
1,1000,1000,2.718282,0.000000,0.744908,0.000209,2.717422,0.000000,1.227021,0.000009
2,1000,1000,1.236381,0.004907,0.734528,0.000006,1.236168,0.000000,1.732167,0.000523
3,1000,1000,1.069839,0.002119,0.810449,0.000006,1.069551,0.000000,1.828880,0.000032
4,1000,1000,1.025098,0.001000,0.878961,0.000011,1.024334,0.000000,2.079929,0.000018
5,1000,1000,1.009821,0.000490,0.946064,0.000011,1.008762,0.000000,2.424477,0.000432
10,1024,1000,1.000150,0.000017,1.270643,0.000008,1.000103,0.000000,3.836902,0.000019
20,1048576,1000,1.000000,0.000000,9.139240,0.000026,1.000000,0.000000,6.694115,0.000137
25,33554432,1000,1.000000,0.000000,357.723452,0.000287,1.000000,0.000000,46.959581,0.000072
