dim,sample_points,num_reruns,mc_ans,mc_ans_std,mc_1000_time,mc_time_std,trap_ans,trap_ans_std,trap_1000_time,trap_time_std
1,10,1000,2.718282,0.000000,3.145597,0.077756,2.622822,0.000000,1.278871,0.000056
2,10,1000,1.236967,0.047677,0.758600,0.000051,1.210454,0.000000,1.572246,0.000052
3,10,1000,1.069722,0.020687,0.823759,0.000054,1.049452,0.000000,1.919290,0.000062
4,16,1000,1.025124,0.007915,0.924742,0.000007,1.017752,0.000000,2.179233,0.000094
5,32,1000,1.009780,0.002693,0.955742,0.000037,1.006919,0.000000,2.438779,0.000040
10,1024,1000,1.000149,0.000016,1.291082,0.000037,1.000103,0.000000,3.877398,0.000058
20,1048576,1000,1.000000,0.000000,9.144816,0.000039,1.000000,0.000000,6.723479,0.000231
25,33554432,1000,1.000000,0.000000,357.694843,0.000361,1.000000,0.000000,47.007508,0.000047
