dim,sample_points,num_reruns,mc_ans,mc_ans_std,mc_1000_time,mc_time_std,trap_ans,trap_ans_std,trap_1000_time,trap_time_std
1,100000,1000,2.718282,0.000001,0.752492,0.000210,2.718273,0.000000,1.248038,0.000033
2,100000,1000,1.236330,0.000474,0.744690,0.000007,1.236317,0.000000,1.556395,0.000009
3,100000,1000,1.069970,0.000210,0.822122,0.000006,1.069940,0.000000,1.823843,0.000010
4,100000,1000,1.025051,0.000097,0.892617,0.000048,1.025002,0.000000,2.089616,0.000012
5,100000,1000,1.009795,0.000047,0.959368,0.000005,1.009739,0.000000,2.351500,0.000012
10,100000,1000,1.000149,0.000002,1.288862,0.000019,1.000132,0.000000,3.641228,0.000017
20,1048576,1000,1.000000,0.000000,9.175330,0.000074,1.000000,0.000000,6.876492,0.001236
25,33554432,1000,1.000000,0.000000,357.756224,0.000453,1.000000,0.000000,46.963309,0.000048
