dim,sample_points,num_reruns,mc_ans,mc_ans_std,mc_1000_time,mc_time_std,trap_ans,trap_ans_std,trap_1000_time,trap_time_std
1,100,1000,2.718282,0.000000,0.751163,0.000201,2.709604,0.000000,1.243688,0.000025
2,100,1000,1.236450,0.015469,0.745744,0.000008,1.234718,0.000000,1.553831,0.000010
3,100,1000,1.070038,0.006845,0.817995,0.000032,1.066519,0.000000,1.824072,0.000012
4,100,1000,1.025134,0.003055,0.881169,0.000007,1.022449,0.000000,2.097721,0.000024
5,100,1000,1.009821,0.001441,0.949301,0.000005,1.006919,0.000000,2.461263,0.000054
10,1024,1000,1.000149,0.000018,1.305853,0.000030,1.000103,0.000000,3.853722,0.000022
20,1048576,1000,1.000000,0.000000,9.147319,0.000048,1.000000,0.000000,6.595797,0.000049
25,33554432,1000,1.000000,0.000000,357.714749,0.000305,1.000000,0.000000,46.979091,0.000050
