dim,sample_points,num_reruns,mc_ans,mc_ans_std,mc_1000_time,mc_time_std,trap_ans,trap_ans_std,trap_1000_time,trap_time_std
1,1000,1000,2.718282,0.000000,3.127250,0.076976,2.717422,0.000000,1.287298,0.000053
2,1000,1000,1.236474,0.004847,0.766337,0.000044,1.236168,0.000000,1.577339,0.000050
3,1000,1000,1.070009,0.002096,0.831528,0.000046,1.069551,0.000000,1.847704,0.000047
4,1000,1000,1.025027,0.000962,0.899123,0.000006,1.024334,0.000000,2.118521,0.000080
5,1000,1000,1.009792,0.000488,0.968465,0.000009,1.008762,0.000000,2.426826,0.000074
10,1024,1000,1.000148,0.000016,1.303876,0.000037,1.000103,0.000000,3.885036,0.000051
20,1048576,1000,1.000000,0.000000,9.161822,0.000039,1.000000,0.000000,6.699646,0.000079
25,33554432,1000,1.000000,0.000000,357.756972,0.000649,1.000000,0.000000,47.433425,0.001021
